end_date,Headline,yes,pos,neg,neu,compound
2021-02-09,How Biden United a Fractious Party Under One Tent,53.8,0.478,0.0,0.522,0.6705
2021-02-09,How We’re Thinking About Impeachment,53.8,0.0,0.0,1.0,0.0
2021-02-09,"John Fetterman, Senate Candidate, Revisits Gun Incident Involving Black Jogger",53.8,0.0,0.211,0.789,-0.34
2021-02-09,"Trump Isn’t the Only One on Trial. The Conservative Media Is, Too.",53.8,0.0,0.0,1.0,0.0
2021-02-10,Georgia Prosecutors Open Criminal Inquiry Into Trump’s Efforts to Subvert Election,54.14000000000001,0.0,0.254,0.746,-0.5267
2021-02-10,House Republicans Announce 47 Democrats They Hope to Unseat,54.14000000000001,0.266,0.0,0.734,0.4404
2021-02-10,Impeachment Briefing: A Video and a Vote,54.14000000000001,0.0,0.0,1.0,0.0
2021-02-10,Why Bill Cassidy Broke With Senate Republicans and Backed Trump’s Trial,54.14000000000001,0.085,0.217,0.698,-0.4019
2021-02-10,‘There’s Nothing Left’: Why Thousands of Republicans Are Leaving the Party,54.14000000000001,0.213,0.0,0.787,0.4019
2021-02-11,Impeachment Briefing: Retelling the Riot,53.5,0.0,0.474,0.526,-0.5574
2021-02-11,Videos Offer a ‘Smoking Gun’ on Impeachment. Will It Matter?,53.5,0.121,0.0,0.879,0.0258
2021-02-12,Former Lincoln Project Workers Ask to Be Released From Nondisclosure Agreements,55.0,0.174,0.0,0.826,0.2732
2021-02-12,"How Conservative Outlets Are Covering Impeachment, or Not",55.0,0.0,0.0,1.0,0.0
2021-02-12,Impeachment Briefing: Wrapping with a Warning,55.0,0.0,0.375,0.625,-0.34
2021-02-12,Nikki Haley Slams Trump’s Election Claims: ‘We Shouldn’t Have Followed Him’,55.0,0.0,0.0,1.0,0.0
2021-02-13,Donald Trump’s Impeachment Legacy: Violent Extremism,56.0,0.0,0.438,0.562,-0.5994
2021-02-13,Impeachment Briefing: A Combative Defense,56.0,0.333,0.0,0.667,0.128
2021-02-13,"In Georgia, a New District Attorney Starts Circling Trump and His Allies",56.0,0.0,0.0,1.0,0.0
2021-02-13,Lincoln Project Co-Founder Resigns From Board Amid a Deepening Crisis,56.0,0.0,0.478,0.522,-0.7506
2021-02-13,Republican Acquittal of Trump Is a Pivotal Moment for the Party,56.0,0.231,0.0,0.769,0.4019
2021-02-14,Lara Trump for North Carolina Senate Seat? Trump’s Trial Is Renewing Talk,53.98,0.0,0.0,1.0,0.0
2021-02-14,Tom Perez on Democrats’ Mistakes and Why Iowa Shouldn’t Go First,53.98,0.0,0.2,0.8,-0.3612
2021-02-15,Adam Kinzinger’s Lonely Mission,56.5,0.0,0.455,0.545,-0.3612
2021-02-15,Pennsylvania G.O.P.’s Push for More Power Over Judiciary Raises Alarms,56.5,0.0,0.189,0.811,-0.2732
2021-02-16,David Perdue Files to Run Against Raphael Warnock for Georgia Senate Seat,53.25,0.0,0.0,1.0,0.0
2021-02-16,Don’t Care for This Impeachment? Wait Until Next Year,53.25,0.286,0.0,0.714,0.4939
2021-02-16,N.A.A.C.P. Sues Trump and Giuliani Over Election Fight and Jan. 6 Riot,53.25,0.0,0.408,0.592,-0.7351
2021-02-16,"On Trump, Michigan Republicans Lean One Way: ‘Fealty at All Costs’",53.25,0.0,0.0,1.0,0.0
2021-02-16,"Trump, in Scorching Attack on McConnell, Urges G.O.P. to Replace Him",53.25,0.0,0.237,0.763,-0.4767
2021-02-17,A ‘9/11 Commission’ for the Capitol Riot?,52.0,0.0,0.419,0.581,-0.5574
2021-02-18,Cuomo at a Crossroads: What Comes Next?,53.1,0.0,0.0,1.0,0.0
2021-02-18,"Rush Limbaugh’s Legacy of Venom: As Trump Rose, ‘It All Sounded Familiar’",53.1,0.0,0.0,1.0,0.0
2021-02-18,Ted Cruz’s Cancún Trip: Family Texts Detail His Political Blunder,53.1,0.0,0.0,1.0,0.0
2021-02-19,How Ted Cruz Became the Least Sympathetic Politician in America,54.0,0.0,0.231,0.769,-0.4023
2021-02-19,The Virginia G.O.P. Voted on Its Future. The Losers Reject the Results.,54.0,0.0,0.379,0.621,-0.7269
2021-02-19,What Crisis-Communications Experts Would Tell Ted Cruz,54.0,0.0,0.0,1.0,0.0
2021-02-20,Cruz and Cuomo Face Scandal. Trump Can’t Save Them.,56.75,0.244,0.221,0.534,0.0772
2021-02-20,Democrats Beat Trump in 2020. Now They’re Asking: What Went Wrong?,56.75,0.0,0.237,0.763,-0.4767
2021-02-20,Where Biden’s Virus Plan Stands,56.75,0.0,0.0,1.0,0.0
2021-02-21,Democrats’ Big Tent Helped Them Win. Now It Threatens Biden’s Agenda.,54.75,0.247,0.169,0.584,0.296
2021-02-21,How Democrats Are Already Maneuvering to Shape Biden’s First Supreme Court Pick,54.75,0.247,0.0,0.753,0.5574
2021-02-22,Nevada Is Moving to Vote Before Iowa in 2024. Harry Reid Makes the Case.,52.333333333333336,0.0,0.0,1.0,0.0
2021-02-22,State Lawmakers Defy Governors in a Covid-Era Battle for Power,52.333333333333336,0.0,0.245,0.755,-0.3818
2021-02-22,Why Biden Is Tackling Immigration Now,52.333333333333336,0.0,0.0,1.0,0.0
2021-02-23,How Is the Fed Thinking About Unemployment?,51.6,0.0,0.326,0.674,-0.4404
2021-02-24,No articles found,53.5,0.0,0.524,0.476,-0.296
2021-02-25,"After the Riot, What’s the Future of Art in the Capitol?",55.135,0.0,0.265,0.735,-0.5574
2021-02-25,"Give Biden a Chance? On Covid Aid, Some Trump Voters Just Might",55.135,0.167,0.0,0.833,0.25
2021-02-25,"What to Watch For at CPAC: Trump, Cruz, Pompeo and More",55.135,0.0,0.0,1.0,0.0
2021-02-26,CPAC Starts Tomorrow and Trump Is Still Center of the Republican Universe,56.0,0.0,0.0,1.0,0.0
2021-02-26,Trump to Dominate CPAC as Activists Assess Potential 2024 Candidates,56.0,0.0,0.143,0.857,-0.128
2021-02-27,A Quiet Life Out of the Spotlight? Not for This Former President,53.0,0.0,0.0,1.0,0.0
2021-02-27,CPAC and the New Republicanism,53.0,0.0,0.0,1.0,0.0
2021-02-27,Trump Loyalists Spurn ‘Failed Republican Establishment of Yesteryear’,53.0,0.231,0.0,0.769,0.2732
2021-02-27,Unity Proves Elusive in Democrats’ Fight for $15,53.0,0.0,0.271,0.729,-0.3818
2021-02-28,"A Day Before He Speaks, Conservative Gathering Is Mostly About Trump",52.833333333333336,0.0,0.0,1.0,0.0
2021-02-28,"At CPAC, a Golden Image, a Magic Wand and Reverence for Trump",52.833333333333336,0.0,0.0,1.0,0.0
2021-02-28,"Trump Wins CPAC Straw Poll, but Only 68 Percent Want Him to Run Again",52.833333333333336,0.241,0.0,0.759,0.4215
2021-02-28,Trump’s Republican Hit List at CPAC Is a Warning Shot to His Party,52.833333333333336,0.179,0.159,0.662,0.0772
2021-03-01,"CPAC Takeaways: Trump Dominates, and DeSantis and Noem Stand Out",53.875,0.118,0.0,0.882,0.0516
2021-03-01,How Pro-Trump Forces Pushed a Lie About Antifa at the Capitol Riot,53.875,0.0,0.265,0.735,-0.5574
2021-03-01,Ron Johnson Says He Still Has Many Unanswered Questions,53.875,0.0,0.0,1.0,0.0
2021-03-01,Trump and his wife received coronavirus vaccine before leaving the White House.,53.875,0.0,0.0,1.0,0.0
2021-03-01,Trumpism Grips a Post-Policy G.O.P. as Traditional Conservatism Fades,53.875,0.0,0.0,1.0,0.0
2021-03-01,Where Biden’s Foreign Policy Is Taking the U.S.,53.875,0.0,0.0,1.0,0.0
2021-03-02,"Ambitious Republicans’ Dance: Embrace Trump, but Don’t Try to Be Him",51.75,0.291,0.0,0.709,0.4019
2021-03-02,The Brewing Voting Rights Clash,51.75,0.0,0.0,1.0,0.0
2021-03-03,"Biden’s honeymoon is over, but he retains majority approval.",51.5,0.342,0.0,0.658,0.631
2021-03-03,Georgia Takes Center Stage With New Battles Over Voting Rights,51.5,0.0,0.224,0.776,-0.3818
2021-03-03,Introducing Our New Polling Blog,51.5,0.0,0.0,1.0,0.0
2021-03-03,Supreme Court Case Could Limit Options to Fight Republican Voting Restrictions,51.5,0.237,0.171,0.592,0.25
2021-03-04,"New Yorkers say that Cuomo shouldn’t resign, but that he shouldn’t run for re-election either.",53.620000000000005,0.0,0.108,0.892,-0.1779
2021-03-04,Republicans Won Blue-Collar Votes. They’re Not Offering Much in Return.,53.620000000000005,0.291,0.0,0.709,0.5719
2021-03-05,A Vexing Question for Democrats: What Drives Latino Men to Republicans?,54.0,0.0,0.25,0.75,-0.4588
2021-03-05,QAnon Proves Its Resilience,54.0,0.0,0.0,1.0,0.0
2021-03-05,What’s in a Vote-a-Rama?,54.0,0.0,0.0,1.0,0.0
2021-03-06,DeSantis Is Ascendant and Cuomo Is Faltering,53.5,0.0,0.0,1.0,0.0
2021-03-06,Democrats Want a Stronger Edge in the Senate. Ohio Could Be Crucial.,53.5,0.302,0.0,0.698,0.4404
2021-03-06,"In Georgia, Republicans Take Aim at Role of Black Churches in Elections",53.5,0.0,0.0,1.0,0.0
2021-03-07,No articles found,52.75,0.0,0.524,0.476,-0.296
2021-03-08,"In Biden, Labor Leaders See a President Who ‘Is Not Playing’",53.63636363636363,0.0,0.0,1.0,0.0
2021-03-08,"Inside the Lincoln Project’s Secrets, Side Deals and Scandals",53.63636363636363,0.0,0.286,0.714,-0.4939
2021-03-08,Josh Hawley Is ‘Not Going Anywhere.’ How Did He Get Here?,53.63636363636363,0.0,0.0,1.0,0.0
2021-03-08,Pence will make his first speech since leaving office.,53.63636363636363,0.0,0.0,1.0,0.0
2021-03-09,How Biden Is Trying to Help Working-Class Voters in Red-State Alabama,51.75,0.213,0.0,0.787,0.4019
2021-03-09,"Jimmy Carter is ‘disheartened, saddened and angry’ by the G.O.P. push to curb voting rights in Georgia.",51.75,0.0,0.175,0.825,-0.5267
2021-03-09,"Portraits of George W. Bush and Bill Clinton are back on prominent display, a White House official said.",51.75,0.126,0.0,0.874,0.3182
2021-03-09,R.N.C. says it ‘has every right’ to use Trump’s name to raise money but won’t do so without his OK.,51.75,0.0,0.157,0.843,-0.5486
2021-03-09,"Trump, Hungry for Power, Tries to Wrestle Away G.O.P. Fund-Raising",51.75,0.0,0.0,1.0,0.0
2021-03-09,Wyoming lawmakers weigh runoff legislation that could hurt Liz Cheney.,51.75,0.0,0.274,0.726,-0.5267
2021-03-10,The D.C.C.C. Blacklist Is No More,55.0,0.0,0.306,0.694,-0.296
2021-03-10,Two Trump stalwarts find a new cause: #FreeBritney.,55.0,0.0,0.0,1.0,0.0
2021-03-10,What Does $1.9 Trillion Buy?,55.0,0.0,0.0,1.0,0.0
2021-03-11,Can Democrats Still Count on the Grass-Roots?,53.25333333333333,0.0,0.0,1.0,0.0
2021-03-12,"In Nevada, Unemployed Workers Wait for Aid That Will Still Not Be Enough",55.0,0.0,0.0,1.0,0.0
2021-03-12,Why Al Franken Hovers Over the Debate About Cuomo’s Future,55.0,0.0,0.0,1.0,0.0
2021-03-13,A Political Hurricane Blew Through Georgia. Now It’s Bracing for More.,58.333333333333336,0.0,0.0,1.0,0.0
2021-03-13,How Democrats Hope to Press Their Advantage on the Stimulus,58.333333333333336,0.38,0.0,0.62,0.5994
2021-03-13,The Imperious Rise and Accelerating Fall of Andrew Cuomo,58.333333333333336,0.0,0.0,1.0,0.0
2021-03-13,Will Republicans Pay a Price for Opposing the Stimulus?,58.333333333333336,0.0,0.167,0.833,-0.1027
2021-03-14,No articles found,55.666666666666664,0.0,0.524,0.476,-0.296
2021-03-15,Can Biden Stay on the Sidelines of the Andrew Cuomo Saga?,55.6,0.0,0.0,1.0,0.0
2021-03-15,Stimulus Bill as a Political Weapon? Democrats Are Counting on It.,55.6,0.0,0.196,0.804,-0.296
2021-03-15,Will Democrats Nix (or Weaken) the Filibuster?,55.6,0.0,0.0,1.0,0.0
2021-03-16,"Democrats, Pushing Stimulus, Admit to Regrets on Obama’s 2009 Response",53.0,0.146,0.203,0.65,-0.1779
2021-03-16,Digging Into Liberals’ Enduring Support for Andrew Cuomo,53.0,0.278,0.0,0.722,0.4019
2021-03-16,Feinstein’s Future Could Swing on Husband’s Potential Posting Overseas,53.0,0.0,0.0,1.0,0.0
2021-03-17,"How 535,000 Covid Deaths Spurred Political Awakenings Across America",53.75,0.0,0.0,1.0,0.0
2021-03-17,"Many Iowans Are Uncomfortable With a New Voting Restriction, Poll Finds",53.75,0.0,0.37,0.63,-0.5719
2021-03-18,Four in 10 Republicans say the Capitol rioters’ anger was justified.,55.580000000000005,0.175,0.24,0.584,-0.25
2021-03-18,The U.S.-China Talks: A Meeting of Friends and Foes,55.580000000000005,0.256,0.248,0.496,0.0258
2021-03-19,Democrats Confront a Surge at the Border,58.0,0.0,0.254,0.746,-0.1779
2021-03-19,"In Restricting Early Voting, the Right Sees a New ‘Center of Gravity’",58.0,0.0,0.206,0.794,-0.3818
2021-03-20,How the Pandemic Changed Your Politics,59.0,0.0,0.0,1.0,0.0
2021-03-20,Louisiana House Race Sets Up a Democratic Showdown in New Orleans,59.0,0.0,0.0,1.0,0.0
2021-03-21,"Assaulting the Truth, Ron Johnson Helps Erode Confidence in Government",51.666666666666664,0.469,0.189,0.343,0.5994
2021-03-21,Why Some Georgia Lawmakers Want Last Week’s Shootings Labeled Hate Crimes,51.666666666666664,0.093,0.264,0.643,-0.5267
2021-03-22,"Trump Endorses a Loyalist, Jody Hice, for Georgia Secretary of State",55.666666666666664,0.38,0.0,0.62,0.5994
2021-03-22,"With Marijuana Departures, the White House Wages Its Own Culture War",55.666666666666664,0.0,0.281,0.719,-0.5994
2021-03-23,"Across States, a Checkerboard of Gun Laws Reflects Partisan Tilt",50.75,0.0,0.231,0.769,-0.34
2021-03-23,Eric Greitens and Mo Brooks Announce Senate Bids in Missouri and Alabama,50.75,0.0,0.0,1.0,0.0
2021-03-23,G.O.P. and Allies Draft ‘Best Practices’ for Restricting Voting,50.75,0.0,0.245,0.755,-0.3818
2021-03-23,Where Will the Gun Control Debate Go Now (if Anywhere)?,50.75,0.0,0.211,0.789,-0.34
2021-03-24,Republicans Aim to Seize More Power Over How Elections Are Run,51.0,0.0,0.0,1.0,0.0
2021-03-24,Republicans Fear Flawed Candidates Could Imperil Key Senate Seats,51.0,0.0,0.286,0.714,-0.4939
2021-03-24,Voting Rights Bill Puts Democrats on a Crash Course With the Filibuster,51.0,0.0,0.213,0.787,-0.4019
2021-03-25,Georgia G.O.P. Passes Major Law to Limit Voting Amid Nationwide Push,53.637142857142855,0.0,0.0,1.0,0.0
2021-03-25,Is a Big Tech Overhaul Just Around the Corner?,53.637142857142855,0.0,0.0,1.0,0.0
2021-03-26,Georgia G.O.P. Fires Opening Shot in Fight to Limit Voting,57.2,0.0,0.224,0.776,-0.3818
2021-03-26,Who Are Gavin Newsom’s Enemies?,57.2,0.0,0.444,0.556,-0.4939
2021-03-26,Why the Georgia G.O.P.’s Voting Rollbacks Will Hit Black People Hard,57.2,0.0,0.123,0.877,-0.1027
2021-03-27,"In Washington, Policy Revolves Around Joe Manchin. He Likes It That Way.",55.0,0.203,0.0,0.797,0.4215
2021-03-28,No articles found,53.333333333333336,0.0,0.524,0.476,-0.296
2021-03-29,Biden Changes His Own ‘Paradigm’,55.0,0.0,0.0,1.0,0.0
2021-03-29,Why Transgender Girls Are Suddenly the G.O.P.’s Culture-War Focus,55.0,0.0,0.0,1.0,0.0
2021-03-30,Biden’s Judicial Counterpunch to Trump Begins,50.25,0.0,0.0,1.0,0.0
2021-03-30,Why Mothers Are Skeptical About All the Promises of Pandemic Aid,50.25,0.187,0.165,0.647,0.0772
2021-03-31,The Infrastructure Crisis That Biden Is Confronting,52.5,0.0,0.533,0.467,-0.6908
2021-04-01,Biden Faces ‘a Very Precarious Point’ in the Coronavirus Response,52.0,0.0,0.0,1.0,0.0
2021-04-02,How Matt Gaetz Got Here,56.0,0.0,0.0,1.0,0.0
2021-04-02,M.L.B. Pulls All-Star Game From Georgia in Response to Voting Law,56.0,0.0,0.0,1.0,0.0
2021-04-02,"Trump’s Latino Support Was More Widespread Than Thought, Report Finds",56.0,0.231,0.0,0.769,0.4019
2021-04-02,"Virginia, the Old Confederacy’s Heart, Becomes a Voting Rights Bastion",56.0,0.0,0.0,1.0,0.0
2021-04-02,What Georgia’s Voting Law Really Does,56.0,0.0,0.0,1.0,0.0
2021-04-03,How Trump Steered Supporters Into Unwitting Donations,55.333333333333336,0.326,0.0,0.674,0.4404
2021-04-03,Is Biden Missing His Chance on Guns?,55.333333333333336,0.217,0.239,0.543,-0.0516
2021-04-03,Kemp Lashes M.L.B. as Republicans Defend Georgia’s Voting Law,55.333333333333336,0.0,0.0,1.0,0.0
2021-04-03,One Republican’s Lonely Fight Against a Flood of Disinformation,55.333333333333336,0.0,0.459,0.541,-0.6249
2021-04-04,No articles found,54.4,0.0,0.524,0.476,-0.296
2021-04-05,"Asa Hutchinson, G.O.P. Governor of Arkansas, Vetoes Anti-Transgender Bill",54.333333333333336,0.0,0.0,1.0,0.0
2021-04-05,What’s Driving the Surge at the Southern Border?,54.333333333333336,0.0,0.0,1.0,0.0
2021-04-06,The Rising Politicization of Covid Vaccines,51.25,0.0,0.0,1.0,0.0
2021-04-07,"Boehner Blasts Trump, Saying He ‘Incited That Bloody Insurrection’",53.0,0.0,0.266,0.734,-0.4404
2021-04-07,"For These Republicans, 2024 Is Just Around the Corner",53.0,0.0,0.0,1.0,0.0
2021-04-07,G.O.P. Group Warns of ‘Defector’ List if Donors Uncheck Recurring Box,53.0,0.0,0.123,0.877,-0.1027
2021-04-07,Justin Fairfax Accuses Terry McAuliffe of Treating Him Like Emmett Till,53.0,0.18,0.173,0.647,0.0258
2021-04-07,"No, Georgia’s voting laws are not like Colorado’s.",53.0,0.0,0.418,0.582,-0.5122
2021-04-07,Why Kentucky Just Became the Only Red State to Expand Voting Rights,53.0,0.173,0.0,0.827,0.3182
2021-04-08,Asa Hutchinson on Arkansas’s Anti-Trans Law and the G.O.P. Culture Wars,53.292500000000004,0.0,0.265,0.735,-0.5574
2021-04-08,Caitlyn Jenner Is Exploring a Run for Governor of California,53.292500000000004,0.0,0.0,1.0,0.0
2021-04-08,How Brian Kemp Is Rebounding Against Trump’s Wrath,53.292500000000004,0.0,0.0,1.0,0.0
2021-04-08,"In the Virginia Governor’s Race, Can Anyone Take On Terry McAuliffe?",53.292500000000004,0.0,0.0,1.0,0.0
2021-04-09,How a Defeated Trump Is Making a Muddle of the G.O.P.,55.0,0.0,0.279,0.721,-0.4767
2021-04-10,Could Ron DeSantis Be Trump’s G.O.P. Heir? He’s Certainly Trying.,55.0,0.211,0.0,0.789,0.34
2021-04-10,The New Cancel Culture Capitalism,55.0,0.0,0.333,0.667,-0.25
2021-04-10,Trump Lashes His Enemies Anew as G.O.P. Dances Around His Presence,55.0,0.0,0.242,0.758,-0.4939
2021-04-10,Will Biden ‘Pack’ the Supreme Court?,55.0,0.419,0.0,0.581,0.5574
2021-04-11,No articles found,52.8,0.0,0.524,0.476,-0.296
2021-04-12,Why the G.O.P. Can’t Quit Trump,52.44444444444444,0.0,0.0,1.0,0.0
2021-04-12,‘Bond Girl’ Talk and Groping: Albany’s Toxic Culture for Women,52.44444444444444,0.0,0.0,1.0,0.0
2021-04-13,"As Michigan G.O.P. Plans Voting Limits, Top Corporations Fire a Warning Shot",53.6875,0.123,0.329,0.548,-0.4588
2021-04-13,Can These Democratic Pollsters Figure Out What Went Wrong?,53.6875,0.0,0.279,0.721,-0.4767
2021-04-14,Democrats Were Lukewarm on Campaign Biden. They Love President Biden.,52.0,0.318,0.0,0.682,0.6369
2021-04-14,"Nearly half of Republicans say they don’t want a Covid vaccine, a big public health challenge.",52.0,0.178,0.0,0.822,0.1531
